title,authors,average_rating,isbn,# num_pages
The Autobiography of Mark Twain,Mark Twain-Charles Neider,4.05,60955422,508
The Killer Angels: A Novel of the Civil War (The Civil War Trilogy  #2),Michael Shaara,4.32,679643249,337
Autobiography of a Yogi,Paramahansa Yogananda,4.23,8120818946,516
And the Envelope  Please...: Ever After / An Affair To Remember / It Happened One Night,Barbara Bretton-Emilie Rose-Isabel Sharpe,3.57,373836937,279
Full Moon (Blandings Castle  #7),P.G. Wodehouse,4.17,1585678368,272
At First Sight,Nicholas Sparks,3.82,073945868X,466
Posing for Portrait Photography: A Head-To-Toe Guide,Jeff   Smith,3.38,1584281340,124
Earned Value Project Management,Quentin W. Fleming-Joel M. Koppelman,3.77,1930699891,232
Ghosthunters and the Muddy Monster of Doom! (Ghosthunters  #4),Cornelia Funke-Helena Ragg-Kirkby,3.92,439862698,176
Gorgias/Phaedrus (Agora),Plato-James H. Nichols Jr.,4.41,801435307,233
Rumer Godden,Anne Chisholm,3.83,330367471,335
Dear God  Help!!! Love  Earl,Barbara Park-Kenneth Lafreniere,3.95,679853952,144
Wild Swan (Wild Swan Trilogy  #1),Celeste De Blasis,4.36,553249371,687
Poetry  Tales and Selected Essays,Edgar Allan Poe-Gary Richard Thompson-G.R. Thompson-Patrick F. Quinn,4.46,1883011388,1520
Daybreak: Thoughts on the Prejudices of Morality,Friedrich Nietzsche-R.J. Hollingdale,4.17,521599636,292
Beowulf,Unknown-Burton Raffel,3.43,451527402,160
Sukhoi Su-27 Flanker (WarbirdTech  #42),Yefim Gordon-Peter Davison,3.00,1580070914,104
The Wizard's Apprentice (The Keepers  #4),Jackie French Koller-Davina Porter,3.78,1402580355,4
Adventures of the Scarlet Pimpernel,Emmuska Orczy,4.03,899664598,256
Odes to Common Things,Pablo Neruda-Ferris Cook-Ken Krabbenhoft,4.38,821220802,152
Four to Score (Stephanie Plum  #4),Janet Evanovich,4.17,312966970,313
Dostoevsky: The Years of Ordeal  1850-1859,Joseph Frank,4.43,691014221,336
The Abominable Snowman Doesn't Roast Marshmallows (The Adventures of the Bailey School Kids  #50),Debbie Dadey-Marcia Thornton Jones,3.85,439650372,96
New Worlds  Ancient Texts: The Power of Tradition and the Shock of Discovery,Anthony Grafton,3.58,674618769,296
