title,authors,average_rating,isbn,# num_pages
Lamu: Urusei Yatsura  4,Rumiko Takahashi,4.38,8484497291,408
A Great and Terrible Beauty (Gemma Doyle #1),Libba Bray,3.79,689875347,403
Freakonomics  - O Estranho Mundo da Economia,Steven D. Levitt-Stephen J. Dubner-Carlos Braga,3.96,9722334964,264
This Boy's Life,Tobias Wolff,3.98,802136680,304
Darkfall,Dean Koontz,3.82,425214591,371
Revolutionary Characters: What Made the Founders Different,Gordon S. Wood,3.97,1594200939,336
Ultimate Unofficial Guide to the Mysteries of Harry Potter: Analysis of Books 1-4,Galadriel Waters-Astre Mithrandir,4.05,972393617,412
Howl's Moving Castle (Howl's Moving Castle  #1),Diana Wynne Jones,4.30,006441034X,329
The Bad Place,Dean R. Koontz,3.89,425195481,427
Tara Road,Maeve Binchy,3.90,440235596,648
Why I Hate Canadians,Will Ferguson,3.71,1550546007,220
Voice of the Violin (Inspector Montalbano  #4),Andrea Camilleri-Stephen Sartarelli,4.03,142004456,249
The Snapper,Roddy Doyle,3.93,3596153034,217
Cerulean Sins (Anita Blake  Vampire Hunter  #11),Laurell K. Hamilton,3.85,515136816,529
Witches Abroad (Discworld  #12; Witches #3),Terry Pratchett,4.23,61020613,374
The Eternity Code (Artemis Fowl  #3),Eoin Colfer,4.05,786856289,309
Jimmy the Hand (Legends of the Riftwar  #3),Raymond E. Feist-Steve Stirling,3.95,6483909,368
CSS: The Definitive Guide,Eric A. Meyer,4.00,596527330,518
Snow Crash,Neal Stephenson,4.03,553380958,438
On Duties,Marcus Tullius Cicero-Miriam T. Griffin-E.M. Atkins,3.95,521348358,241
